Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
10a.sql,2774,2737,0,14664,37762,0,496492,14010,42,29,104,76,0.0192316147447116,0.33215856019245144,1.0
10b.sql,2705,2697,0,482,1002,0,86,470,5,3,0,3,3.7449641592914844E-5,6.444021654699363E-5,1.0
10c.sql,4812,3798,0,1686663,3376554,0,12821,1686917,335,114,10,6754,6.907711200250253E-4,0.4496402877697842,1.0
11a.sql,3220,3197,0,15272,35061,0,31897081,12756,73,61,310,71,0.016391333785750025,0.10232872089098885,1.0
11b.sql,2381,2367,0,2363,4709,0,293706,2055,13,10,14,10,0.057357876471142634,0.43887865698017176,1.0
11c.sql,3897,3769,1,79424,201546,0,1349776262,72867,118,68,6946,404,0.021259343513278996,0.167,1.0
11d.sql,6493,4009,0,2459455,5110333,0,973465367,2473886,167,111,14899,10221,0.0035576612843192866,0.167,1.0
12a.sql,3711,3602,0,78148,169433,0,1897056,85482,108,83,397,339,0.010195864743787761,0.28644079489248064,1.0
12b.sql,1685,1668,0,4704,10224,0,38316107,3770,24,21,10,21,0.08220438693812863,0.5039998268237125,1.0
12c.sql,3014,2290,0,482032,1044006,0,3208949,525576,115,88,4711,2089,0.004449734922962504,0.47767718121082436,1.0
13a.sql,5531,2,1,6059766,12875301,0,2130048977,5259422,944,679,111101,25751,0.004600371298704776,0.3071393389916931,1.0
13b.sql,1466,1448,0,12890,25190,0,74679094,8824,54,51,372,51,0.05378011611437479,0.3718583790758206,1.0
13c.sql,1011,998,0,4974,10592,0,13383591,3769,25,22,53,22,0.06448719459073318,0.4333935553299186,1.0
13d.sql,5951,15,7,6328096,12452830,0,1690290283,5190907,180,132,670390,24906,0.027144701377429335,0.3008312769146861,1.0
14a.sql,2149,1905,1,308594,646611,0,2353225653,276762,104,70,761,1294,0.0038588618652549227,0.3586676493792889,1.0
14b.sql,1613,1599,0,2087,4463,0,9218527,2255,11,9,1,9,0.02874056998722503,0.1989010989010989,1.0
14c.sql,2189,2094,0,92168,226415,0,706161827,84084,95,51,4115,453,0.010915120438146245,0.15848688546122858,1.0
15a.sql,3028,3007,0,7695,17273,0,15543177,10124,38,34,328,35,0.05774024453975136,0.4715125540404428,1.0
15b.sql,2842,2817,0,4341,9973,0,271454,5720,23,20,37,20,0.018842946901000888,0.15598241901351131,1.0
15c.sql,3302,3271,0,13695,28433,0,46719509,13891,46,39,2271,57,0.07121555664482593,0.5618755236845813,1.0
15d.sql,1946,1747,0,71655,154366,0,177792129,77781,132,104,11347,309,0.05111717504319523,0.224,1.0
16a.sql,147,83,0,88936,190170,0,394992533,88038,50,41,385,381,0.008835339620266058,0.3720238095238095,1.0
16b.sql,16948,14,20,10438533,22347124,0,2239129507,9078030,156,101,3710592,44695,0.08317082661370709,0.3580355278111642,1.0
16c.sql,2113,892,2,947181,2106746,0,1451003600,694194,113,86,319932,4214,0.07680481373790657,0.26655678016138556,1.0
16d.sql,3845,574,2,4086323,9869157,0,2993724905,6368058,190,132,249455,19739,0.01278835188523188,0.31288886430882396,1.0
17a.sql,4045,1223,1,2815671,7543983,0,1850864329,2625066,109,53,258289,15088,0.017377681551191394,0.17042424418319543,1.0
17b.sql,2402,1116,0,1280996,3638250,0,1527683181,1287226,103,65,52306,7277,0.0077116010969990175,0.2209950384841413,1.0
